Iteration	Posterior	Likelihood	Prior	lambda	rate[1]	rate[2]	tr[1]	tr[2]	word_rate_mult[1]	word_rate_mult[2]	word_rate_mult[3]	word_rate_mult[4]	word_rate_mult[5]	word_rate_mult[6]	word_rate_mult[7]	word_rate_mult[8]	word_rate_mult[9]	word_rate_mult[10]	word_rate_mult[11]
435	-652.7608	-633.2549	-19.50588	0.01072121	0.961427	0.0385729	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
440	-650.8639	-631.209	-19.65491	0.01221149	0.968954	0.0310458	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
445	-655.0688	-635.3315	-19.7373	0.01303531	0.972437	0.0275625	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
450	-654.3091	-634.5718	-19.7373	0.01303531	0.982744	0.017256	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
455	-660.2911	-640.5538	-19.7373	0.01303531	0.96674	0.03326	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
460	-649.3289	-629.9292	-19.3997	0.00965932	0.959207	0.0407929	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
465	-645.9156	-626.4376	-19.47796	0.01044201	0.970388	0.0296122	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
470	-655.8825	-636.5539	-19.32862	0.008948564	0.964626	0.0353736	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
475	-648.4367	-629.1081	-19.32862	0.008948564	0.964052	0.0359483	0.5	0.5	0.0290628	0.0236466	0.0385673	10.6922	0.0198037	0.00760855	0.0474934	0.0278834	0.0458807	0.0322952	0.0355354
480	-654.9163	-636.2954	-18.62091	0.01197153	0.970011	0.0299886	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
485	-648.9684	-630.5004	-18.468	0.01044247	0.974538	0.0254622	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
490	-652.2133	-633.9781	-18.23519	0.008114352	0.95604	0.04396	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
495	-647.653	-629.4145	-18.23843	0.008146744	0.956903	0.0430969	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
500	-643.2751	-624.9748	-18.30027	0.008765166	0.966229	0.033771	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
505	-651.9542	-633.6083	-18.34595	0.009221916	0.964568	0.035432	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
510	-650.2303	-631.8844	-18.34595	0.009221916	0.966099	0.0339007	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
515	-647.6652	-629.3193	-18.34595	0.009221916	0.974537	0.0254635	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
520	-641.4614	-622.9585	-18.50286	0.01079102	0.95196	0.0480399	0.5	0.5	0.029027	0.0236175	0.0385198	10.6791	0.0197793	0.0211493	0.0474349	0.027849	0.0458241	0.0322554	0.0354916
525	-652.3064	-634.7436	-17.56286	0.008283478	0.963691	0.0363091	0.5	0.5	0.028918	0.0235288	0.0796818	10.639	0.019705	0.0210699	0.0472568	0.0277445	0.0456521	0.0321343	0.0353584
530	-651.1791	-633.6859	-17.49319	0.007586798	0.969296	0.0307042	0.5	0.5	0.028918	0.0235288	0.0796818	10.639	0.019705	0.0210699	0.0472568	0.0277445	0.0456521	0.0321343	0.0353584
535	-642.1114	-624.6798	-17.43164	0.006971271	0.979658	0.020342	0.5	0.5	0.028918	0.0235288	0.0796818	10.639	0.019705	0.0210699	0.0472568	0.0277445	0.0456521	0.0321343	0.0353584
540	-651.6528	-633.8678	-17.78498	0.01050475	0.950834	0.0491664	0.5	0.5	0.028918	0.0235288	0.0796818	10.639	0.019705	0.0210699	0.0472568	0.0277445	0.0456521	0.0321343	0.0353584
545	-641.4082	-624.4161	-16.9921	0.007827284	0.974915	0.0250854	0.5	0.5	0.0288564	0.0234787	0.079512	10.6163	0.019663	0.021025	0.0471561	0.0276854	0.0455548	0.0554999	0.035283
550	-647.3204	-630.1862	-17.13419	0.009248146	0.967069	0.0329311	0.5	0.5	0.0288564	0.0234787	0.079512	10.6163	0.019663	0.021025	0.0471561	0.0276854	0.0455548	0.0554999	0.035283
555	-647.7518	-630.8577	-16.8941	0.006847253	0.982168	0.0178316	0.5	0.5	0.0288564	0.0234787	0.079512	10.6163	0.019663	0.021025	0.0471561	0.0276854	0.0455548	0.0554999	0.035283
560	-641.6283	-624.447	-17.18132	0.009719416	0.960588	0.039412	0.5	0.5	0.0288564	0.0234787	0.079512	10.6163	0.019663	0.021025	0.0471561	0.0276854	0.0455548	0.0554999	0.035283
565	-649.9893	-633.1514	-16.83798	0.006286002	0.96497	0.0350305	0.5	0.5	0.0288564	0.0234787	0.079512	10.6163	0.019663	0.021025	0.0471561	0.0276854	0.0455548	0.0554999	0.035283
570	-647.8226	-630.7659	-17.05671	0.00847331	0.957706	0.0422938	0.5	0.5	0.0288564	0.0234787	0.079512	10.6163	0.019663	0.021025	0.0471561	0.0276854	0.0455548	0.0554999	0.035283
575	-639.2086	-621.9992	-17.20936	0.01063121	0.967587	0.0324127	0.5	0.5	0.0307913	0.0234746	0.079498	10.6144	0.0196595	0.0210213	0.0471478	0.0276805	0.0455468	0.0554901	0.0352768
580	-651.6428	-634.4335	-17.20936	0.01063121	0.988624	0.0113764	0.5	0.5	0.0307913	0.0234746	0.079498	10.6144	0.0196595	0.0210213	0.0471478	0.0276805	0.0455468	0.0554901	0.0352768
585	-649.9756	-632.9637	-17.01185	0.008656061	0.933023	0.0669772	0.5	0.5	0.0307913	0.0234746	0.079498	10.6144	0.0196595	0.0210213	0.0471478	0.0276805	0.0455468	0.0554901	0.0352768
590	-642.8778	-625.9721	-16.90575	0.007595133	0.962338	0.0376618	0.5	0.5	0.0307913	0.0234746	0.079498	10.6144	0.0196595	0.0210213	0.0471478	0.0276805	0.0455468	0.0554901	0.0352768
595	-647.0548	-630.1491	-16.90575	0.007595133	0.961105	0.0388949	0.5	0.5	0.0307913	0.0234746	0.079498	10.6144	0.0196595	0.0210213	0.0471478	0.0276805	0.0455468	0.0554901	0.0352768
600	-639.372	-622.4663	-16.90575	0.007595133	0.970236	0.0297644	0.5	0.5	0.0307913	0.0234746	0.079498	10.6144	0.0196595	0.0210213	0.0471478	0.0276805	0.0455468	0.0554901	0.0352768
